"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","secPrecipBulk","secPrecipExpUncert","secPrecipRangeQF","secPrecipSciRvwQF"
"D01","HARV",0,60,"2017-02-08T00:00:00Z","2017-02-08T00:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T00:30:00Z","2017-02-08T01:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T01:00:00Z","2017-02-08T01:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T01:30:00Z","2017-02-08T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T02:00:00Z","2017-02-08T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T02:30:00Z","2017-02-08T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T03:00:00Z","2017-02-08T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T03:30:00Z","2017-02-08T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T04:00:00Z","2017-02-08T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T04:30:00Z","2017-02-08T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T05:00:00Z","2017-02-08T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T05:30:00Z","2017-02-08T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T06:00:00Z","2017-02-08T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T06:30:00Z","2017-02-08T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T07:00:00Z","2017-02-08T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T07:30:00Z","2017-02-08T08:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T08:00:00Z","2017-02-08T08:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T08:30:00Z","2017-02-08T09:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T09:00:00Z","2017-02-08T09:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T09:30:00Z","2017-02-08T10:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T10:00:00Z","2017-02-08T10:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T10:30:00Z","2017-02-08T11:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T11:00:00Z","2017-02-08T11:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T11:30:00Z","2017-02-08T12:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T12:00:00Z","2017-02-08T12:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T12:30:00Z","2017-02-08T13:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T13:00:00Z","2017-02-08T13:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T13:30:00Z","2017-02-08T14:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T14:00:00Z","2017-02-08T14:30:00Z",1.007,0.059,0,
"D01","HARV",0,60,"2017-02-08T14:30:00Z","2017-02-08T15:00:00Z",1.51,0.089,0,
"D01","HARV",0,60,"2017-02-08T15:00:00Z","2017-02-08T15:30:00Z",1.007,0.059,0,
"D01","HARV",0,60,"2017-02-08T15:30:00Z","2017-02-08T16:00:00Z",1.51,0.089,0,
"D01","HARV",0,60,"2017-02-08T16:00:00Z","2017-02-08T16:30:00Z",1.51,0.089,0,
"D01","HARV",0,60,"2017-02-08T16:30:00Z","2017-02-08T17:00:00Z",0.503,0.03,0,
"D01","HARV",0,60,"2017-02-08T17:00:00Z","2017-02-08T17:30:00Z",0.503,0.03,0,
"D01","HARV",0,60,"2017-02-08T17:30:00Z","2017-02-08T18:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T18:00:00Z","2017-02-08T18:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T18:30:00Z","2017-02-08T19:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T19:00:00Z","2017-02-08T19:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T19:30:00Z","2017-02-08T20:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T20:00:00Z","2017-02-08T20:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T20:30:00Z","2017-02-08T21:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T21:00:00Z","2017-02-08T21:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T21:30:00Z","2017-02-08T22:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T22:00:00Z","2017-02-08T22:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T22:30:00Z","2017-02-08T23:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T23:00:00Z","2017-02-08T23:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-08T23:30:00Z","2017-02-09T00:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T00:00:00Z","2017-02-09T00:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T00:30:00Z","2017-02-09T01:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T01:00:00Z","2017-02-09T01:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T01:30:00Z","2017-02-09T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T02:00:00Z","2017-02-09T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T02:30:00Z","2017-02-09T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T03:00:00Z","2017-02-09T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T03:30:00Z","2017-02-09T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T04:00:00Z","2017-02-09T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T04:30:00Z","2017-02-09T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T05:00:00Z","2017-02-09T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T05:30:00Z","2017-02-09T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T06:00:00Z","2017-02-09T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T06:30:00Z","2017-02-09T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T07:00:00Z","2017-02-09T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T07:30:00Z","2017-02-09T08:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T08:00:00Z","2017-02-09T08:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T08:30:00Z","2017-02-09T09:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T09:00:00Z","2017-02-09T09:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T09:30:00Z","2017-02-09T10:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T10:00:00Z","2017-02-09T10:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T10:30:00Z","2017-02-09T11:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T11:00:00Z","2017-02-09T11:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T11:30:00Z","2017-02-09T12:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T12:00:00Z","2017-02-09T12:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T12:30:00Z","2017-02-09T13:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T13:00:00Z","2017-02-09T13:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T13:30:00Z","2017-02-09T14:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T14:00:00Z","2017-02-09T14:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T14:30:00Z","2017-02-09T15:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T15:00:00Z","2017-02-09T15:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T15:30:00Z","2017-02-09T16:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T16:00:00Z","2017-02-09T16:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T16:30:00Z","2017-02-09T17:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T17:00:00Z","2017-02-09T17:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T17:30:00Z","2017-02-09T18:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T18:00:00Z","2017-02-09T18:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T18:30:00Z","2017-02-09T19:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T19:00:00Z","2017-02-09T19:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T19:30:00Z","2017-02-09T20:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T20:00:00Z","2017-02-09T20:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T20:30:00Z","2017-02-09T21:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T21:00:00Z","2017-02-09T21:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T21:30:00Z","2017-02-09T22:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T22:00:00Z","2017-02-09T22:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T22:30:00Z","2017-02-09T23:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T23:00:00Z","2017-02-09T23:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-09T23:30:00Z","2017-02-10T00:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T00:00:00Z","2017-02-10T00:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T00:30:00Z","2017-02-10T01:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T01:00:00Z","2017-02-10T01:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T01:30:00Z","2017-02-10T02:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T02:00:00Z","2017-02-10T02:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T02:30:00Z","2017-02-10T03:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T03:00:00Z","2017-02-10T03:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T03:30:00Z","2017-02-10T04:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T04:00:00Z","2017-02-10T04:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T04:30:00Z","2017-02-10T05:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T05:00:00Z","2017-02-10T05:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T05:30:00Z","2017-02-10T06:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T06:00:00Z","2017-02-10T06:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T06:30:00Z","2017-02-10T07:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T07:00:00Z","2017-02-10T07:30:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T07:30:00Z","2017-02-10T08:00:00Z",0,0,0,
"D01","HARV",0,60,"2017-02-10T08:00:00Z","2017-02-10T08:30:00Z",0,0,0,
