"domainID","siteID","horizontalPosition","verticalPosition","date","wssStaPresMean","wssStaPresMinimum","wssStaPresMaximum","wssStaPresVariance","wssStaPresStdErMean","wssStaPresNumPts","staPresQF","wssCorPres","corPresQF"
"D01","HARV",0,25,2017-01-01,97.26355,96.69342,98.38262,0.2665,0.00555,8646,0,,
"D01","HARV",0,25,2017-01-02,98.79145,98.37263,99.07228,0.02107,0.00156,8646,0,,
"D01","HARV",0,25,2017-01-03,97.73042,96.21365,98.76244,0.63942,0.00942,7206,0,,
"D01","HARV",0,25,2017-01-04,95.42246,95.21412,96.24364,0.04381,0.00225,8646,0,,
"D01","HARV",0,25,2017-01-05,96.35376,95.49399,96.88334,0.16592,0.00438,8646,0,,
"D01","HARV",0,25,2017-01-06,97.13863,96.84336,97.72294,0.04932,0.00239,8646,0,,
"D01","HARV",0,25,2017-01-07,97.95126,97.53303,98.25268,0.03934,0.00213,8646,0,,
"D01","HARV",0,25,2017-01-08,97.60031,97.33312,98.24269,0.04833,0.00236,8646,0,,
"D01","HARV",0,25,2017-01-09,98.94255,98.23269,99.27219,0.07932,0.00303,8646,0,,
"D01","HARV",0,25,2017-01-10,99.0399,98.55254,99.23221,0.03149,0.00191,8646,0,,
"D01","HARV",0,25,2017-01-11,97.96105,97.49305,98.57253,0.06704,0.00278,8646,0,,
"D01","HARV",0,25,2017-01-12,97.52184,97.09324,98.16273,0.12231,0.00376,8646,0,,
"D01","HARV",0,25,2017-01-13,97.99827,97.11323,99.03231,0.32817,0.00616,8646,0,,
"D01","HARV",0,25,2017-01-14,99.11013,98.37263,99.41212,0.10206,0.00344,8646,0,,
"D01","HARV",0,25,2017-01-15,98.11463,97.87287,98.37263,0.01747,0.00142,8646,0,,
"D01","HARV",0,25,2017-01-16,98.4013,98.13274,98.56254,0.02167,0.00158,8646,0,,
"D01","HARV",0,25,2017-01-17,97.92616,97.68295,98.13274,0.0122,0.00119,8646,0,,
"D01","HARV",0,25,2017-01-18,97.29007,97.09324,97.71295,0.02623,0.00174,8646,0,,
"D01","HARV",0,25,2017-01-19,97.23041,97.09324,97.41309,0.00611,0.00084,8646,0,,
"D01","HARV",0,25,2017-01-20,97.25165,97.04326,97.41309,0.01019,0.00109,8646,0,,
"D01","HARV",0,25,2017-01-21,96.76836,96.48352,97.07324,0.03343,0.00197,8646,0,,
"D01","HARV",0,25,2017-01-22,96.61633,96.44354,97.00328,0.01436,0.00129,8646,0,,
"D01","HARV",0,25,2017-01-23,97.0953,96.7434,97.34312,0.01953,0.0015,8646,0,,
"D01","HARV",0,25,2017-01-24,95.76902,95.06419,96.81337,0.2988,0.00588,8646,0,,
"D01","HARV",0,25,2017-01-25,95.51406,95.09417,95.98376,0.08553,0.00315,8646,0,,
"D01","HARV",0,25,2017-01-26,95.36997,94.8143,96.00375,0.15318,0.00421,8646,0,,
"D01","HARV",0,25,2017-01-27,95.37732,94.96423,95.62392,0.02751,0.00178,8646,0,,
"D01","HARV",0,25,2017-01-28,95.65188,95.43401,96.00375,0.03121,0.0019,8646,0,,
"D01","HARV",0,25,2017-01-29,96.07826,96.00375,96.24364,0.00277,0.00057,8645,0,,
"D01","HARV",0,25,2017-01-30,96.33995,96.24364,96.63346,0.00561,0.00081,8646,0,,
"D01","HARV",0,25,2017-01-31,96.81673,96.62346,97.00328,0.01808,0.00145,8646,0,,
"D01","HARV",0,25,2017-02-01,96.70235,96.55349,97.00328,0.01024,0.00111,8256,0,,
"D01","HARV",0,25,2017-02-02,97.17675,97.00328,97.43307,0.00697,9e-04,8646,0,,
"D01","HARV",0,25,2017-02-03,97.51884,97.30314,97.69295,0.01426,0.00128,8646,0,,
