"domainID","siteID","horizontalPosition","verticalPosition","date","wssWindSpeedMean","wssWindSpeedMinimum","wssWindSpeedMaximum","wssWindSpeedVariance","wssWindSpeedStdErMean","wssWindSpeedNumPts","windSpeedQF"
"D01","HARV",0,10,2017-01-01,0.24,0,4.7,0.1,0,29339,1
"D01","HARV",0,10,2017-01-02,0.1,0,2.6,0.02,0,61495,1
"D01","HARV",0,10,2017-01-04,0.36,0,3.85,0.14,0,72120,0
"D01","HARV",0,10,2017-01-05,0.36,0,4.81,0.07,0,72120,0
"D01","HARV",0,10,2017-01-06,0.18,0,1.87,0.02,0,86508,0
"D01","HARV",0,10,2017-01-07,0.22,0,2.02,0.02,0,57719,1
"D01","HARV",0,10,2017-01-08,0.15,0,1.37,0.01,0,85545,0
"D01","HARV",0,10,2017-01-10,0.18,0,1.87,0.02,0,72120,0
"D01","HARV",0,10,2017-01-11,0.41,0,4.98,0.12,0,72120,0
"D01","HARV",0,10,2017-01-12,0.34,0,4.43,0.08,0,86327,0
"D01","HARV",0,10,2017-01-15,0.21,0,2.58,0.03,0,72120,0
"D01","HARV",0,10,2017-01-24,0.92,0,5.52,0.29,0,72108,0
"D01","HARV",0,10,2017-01-26,0.23,0,3.68,0.03,0,72120,0
"D01","HARV",0,10,2017-01-27,0.46,0,4.77,0.1,0,86520,0
"D01","HARV",0,10,2017-01-28,0.34,0,4.07,0.07,0,86520,0
"D01","HARV",0,10,2017-01-31,,,,,,0,1
"D01","HARV",0,20,2017-01-01,0.61,0,4.92,0.18,0,63323,1
"D01","HARV",0,20,2017-01-02,0.38,0,1.45,0.03,0,72120,0
"D01","HARV",0,20,2017-01-04,0.71,0,6.76,0.4,0,72120,0
"D01","HARV",0,20,2017-01-05,0.79,0,5.99,0.28,0,72119,0
"D01","HARV",0,20,2017-01-06,0.41,0,3.43,0.12,0,86520,0
"D01","HARV",0,20,2017-01-07,0.51,0,2.6,0.07,0,72120,0
